model,account.fiscal.position.tax.template,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,display_name,char,,Display Name
3,__last_update,datetime,,Last Modified on
4,position_id,many2one,account.fiscal.position.template,Fiscal Position
5,tax_src_id,many2one,account.tax.template,Tax Source
6,write_uid,many2one,res.users,Last Updated by
7,tax_dest_id,many2one,account.tax.template,Replacement Tax
8,write_date,datetime,,Last Updated on
9,create_date,datetime,,Created on
10,id,integer,,ID
,,,,
,,,,
,,,,
