model,blog.blog,transient,False
no,field,type,relation,string
1,message_follower_ids,one2many,mail.followers,Followers
2,subtitle,char,,Blog Subtitle
3,message_needaction,boolean,,Action Needed
4,message_channel_ids,many2many,mail.channel,Followers (Channels)
5,message_partner_ids,many2many,res.partner,Followers (Partners)
6,write_uid,many2one,res.users,Last Updated by
7,create_date,datetime,,Created on
8,message_ids,one2many,mail.message,Messages
9,create_uid,many2one,res.users,Created by
10,display_name,char,,Display Name
11,message_is_follower,boolean,,Is Follower
12,__last_update,datetime,,Last Modified on
13,message_last_post,datetime,,Last Message Date
14,id,integer,,ID
15,website_meta_title,char,,Website meta title
16,message_unread_counter,integer,,Unread Messages Counter
17,website_meta_description,text,,Website meta description
18,write_date,datetime,,Last Updated on
19,active,boolean,,Active
20,name,char,,Blog Name
21,website_meta_keywords,char,,Website meta keywords
22,message_unread,boolean,,Unread Messages
23,message_needaction_counter,integer,,Number of Actions
,,,,
,,,,
,,,,
