model,mail.mail,transient,False
no,field,type,relation,string
1,create_date,datetime,,Created on
2,scheduled_date,char,,Scheduled Send Date
3,auto_delete,boolean,,Auto Delete
4,mail_server_id,many2one,ir.mail_server,Outgoing mail server
5,notification_ids,one2many,mail.notification,Notifications
6,write_uid,many2one,res.users,Last Updated by
7,references,text,,References
8,needaction,boolean,,Need Action
9,id,integer,,ID
10,subject,char,,Subject
11,create_uid,many2one,res.users,Created by
12,display_name,char,,Display Name
13,attachment_ids,many2many,ir.attachment,Attachments
14,__last_update,datetime,,Last Modified on
15,fetchmail_server_id,many2one,fetchmail.server,Inbound Mail Server
16,notification,boolean,,Is Notification
17,parent_id,many2one,mail.message,Parent Message
18,state,selection,,Status
19,subtype_id,many2one,mail.message.subtype,Subtype
20,email_cc,char,,Cc
21,partner_ids,many2many,res.partner,Recipients
22,res_id,integer,,Related Document ID
23,message_id,char,,Message-Id
24,body,html,,Contents
25,model,char,,Related Document Model
26,recipient_ids,many2many,res.partner,To (Partners)
27,record_name,char,,Message Record Name
28,description,char,,Description
29,channel_ids,many2many,mail.channel,Channels
30,child_ids,one2many,mail.message,Child Messages
31,body_html,text,,Rich-text Contents
32,email_to,text,,To
33,no_auto_thread,boolean,,No threading for answers
34,date,datetime,,Date
35,path,char,,Discussion Path
36,write_date,datetime,,Last Updated on
37,author_id,many2one,res.partner,Author
38,mail_message_id,many2one,mail.message,Message
39,needaction_partner_ids,many2many,res.partner,Partners with Need Action
40,starred_partner_ids,many2many,res.partner,Favorited By
41,failure_reason,text,,Failure Reason
42,headers,text,,Headers
43,author_avatar,binary,,Author's avatar
44,reply_to,char,,Reply-To
45,website_published,boolean,,Published
46,starred,boolean,,Starred
47,message_type,selection,,Type
48,email_from,char,,From
,,,,
49,reference,char,,Reference
50,broadcast_image,binary,,Image
51,broadcast,boolean,,Broadcast
52,notification_type,selection,,Type
53,partner_id,many2one,res.partner,Recipient
54,dke_type,selection,,Message Type
55,user_id,many2one,res.users,Recipient User
56,name,char,,Identifier
57,error_message,char,,Error Message
58,notification_state,selection,,State
59,notification_subtype_id,many2one,notification.subtype,Notification Subtype
,,,,
,,,,
