model,product.pricelist.item,transient,False
no,field,type,relation,string
1,fixed_price,float,,Fixed Price
2,create_date,datetime,,Created on
3,price_discount,float,,Price Discount
4,sequence,integer,,Sequence
5,price_max_margin,float,,Max. Price Margin
6,date_end,date,,End Date
7,write_uid,many2one,res.users,Last Updated by
8,currency_id,many2one,res.currency,Currency
9,applied_on,selection,,Apply On
10,min_quantity,integer,,Min. Quantity
11,id,integer,,ID
12,create_uid,many2one,res.users,Created by
13,percent_price,float,,Percentage Price
14,__last_update,datetime,,Last Modified on
15,date_start,date,,Start Date
16,company_id,many2one,res.company,Company
17,product_tmpl_id,many2one,product.template,Product Template
18,pricelist_id,many2one,product.pricelist,Pricelist
19,price_min_margin,float,,Min. Price Margin
20,price,char,,Price
21,compute_price,selection,,Compute price
22,base,selection,,Based on
23,write_date,datetime,,Last Updated on
24,display_name,char,,Display Name
25,categ_id,many2one,product.category,Product Category
26,price_surcharge,float,,Price Surcharge
27,price_round,float,,Price Rounding
28,name,char,,Name
29,base_pricelist_id,many2one,product.pricelist,Other Pricelist
30,product_id,many2one,product.product,Product
,,,,
,,,,
,,,,
