model,purchase.order,transient,False
no,field,type,relation,string
1,origin,char,,Source Document
2,message_follower_ids,one2many,mail.followers,Followers
3,create_date,datetime,,Created on
4,order_line,one2many,purchase.order.line,Order Lines
5,message_needaction,boolean,,Action Needed
6,message_channel_ids,many2many,mail.channel,Followers (Channels)
7,message_partner_ids,many2many,res.partner,Followers (Partners)
8,write_uid,many2one,res.users,Last Updated by
9,currency_id,many2one,res.currency,Currency
10,invoice_ids,many2many,account.invoice,Bills
11,date_order,datetime,,Order Date
12,partner_id,many2one,res.partner,Vendor
13,message_ids,one2many,mail.message,Messages
14,dest_address_id,many2one,res.partner,Drop Ship Address
15,create_uid,many2one,res.users,Responsible
16,amount_untaxed,monetary,,Untaxed Amount
17,invoice_status,selection,,Billing Status
18,is_shipped,boolean,,Is shipped
19,picking_type_id,many2one,stock.picking.type,Deliver To
20,message_last_post,datetime,,Last Message Date
21,company_id,many2one,res.company,Company
22,id,integer,,ID
23,amount_tax,monetary,,Taxes
24,state,selection,,Status
25,message_is_follower,boolean,,Is Follower
26,fiscal_position_id,many2one,account.fiscal.position,Fiscal Position
27,message_unread_counter,integer,,Unread Messages Counter
28,incoterm_id,many2one,stock.incoterms,Incoterm
29,payment_term_id,many2one,account.payment.term,Payment Terms
30,write_date,datetime,,Last Updated on
31,display_name,char,,Display Name
32,partner_ref,char,,Vendor Reference
33,picking_ids,many2many,stock.picking,Receptions
34,date_approve,date,,Approval Date
35,amount_total,monetary,,Total
36,picking_count,integer,,Receptions
37,group_id,many2one,procurement.group,Procurement Group
38,invoice_count,integer,,# of Bills
39,name,char,,Order Reference
40,date_planned,datetime,,Scheduled Date
41,notes,text,,Terms and Conditions
42,__last_update,datetime,,Last Modified on
43,product_id,many2one,product.product,Product
44,default_location_dest_id_usage,selection,,Destination Location Type
45,message_unread,boolean,,Unread Messages
46,message_needaction_counter,integer,,Number of Actions
,,,,
47,printer_data,text,,Printer Data
,,,,
,,,,
