model,report.paperformat,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,page_width,integer,,Page width (mm)
3,display_name,char,,Display Name
4,name,char,,Name
5,header_line,boolean,,Display a header line
6,default,boolean,,Default paper format ?
7,format,selection,,Paper size
8,__last_update,datetime,,Last Modified on
9,header_spacing,integer,,Header spacing
10,dpi,integer,,Output DPI
11,write_uid,many2one,res.users,Last Updated by
12,margin_right,float,,Right Margin (mm)
13,margin_top,float,,Top Margin (mm)
14,margin_left,float,,Left Margin (mm)
15,write_date,datetime,,Last Updated on
16,margin_bottom,float,,Bottom Margin (mm)
17,create_date,datetime,,Created on
18,report_ids,one2many,ir.actions.report.xml,Associated reports
19,id,integer,,ID
20,page_height,integer,,Page height (mm)
21,orientation,selection,,Orientation
,,,,
,,,,
,,,,
