model,stock.quant,transient,False
no,field,type,relation,string
1,create_date,datetime,,Creation Date
2,produced_quant_ids,many2many,stock.quant,Produced quant ids
3,qty,float,,Quantity
4,propagated_from_id,many2one,stock.quant,Linked Quant
5,package_id,many2one,stock.quant.package,Package
6,cost,float,,Unit Cost
7,inventory_value,float,,Inventory Value
8,lot_id,many2one,stock.production.lot,Lot/Serial Number
9,reservation_id,many2one,stock.move,Reserved for Move
10,id,integer,,ID
11,negative_dest_location_id,many2one,stock.location,Negative Destination Location
12,create_uid,many2one,res.users,Created by
13,display_name,char,,Display Name
14,__last_update,datetime,,Last Modified on
15,location_id,many2one,stock.location,Location
16,company_id,many2one,res.company,Company
17,history_ids,many2many,stock.move,Moves
18,owner_id,many2one,res.partner,Owner
19,consumed_quant_ids,many2many,stock.quant,Consumed quant ids
20,write_date,datetime,,Last Updated on
21,write_uid,many2one,res.users,Last Updated by
22,name,char,,Identifier
23,product_id,many2one,product.product,Product
24,product_uom_id,many2one,product.uom,Unit of Measure
25,packaging_type_id,many2one,product.packaging,Type of packaging
26,negative_move_id,many2one,stock.move,Move Negative Quant
27,in_date,datetime,,Incoming Date
,,,,
28,categ_id,many2one,product.category,Product Category
,,,,
,,,,
