source_model;account.journal;target_model;account.journal;;;;
no;field1;type1;relation1;field2;type2;relation2;default
1;code;char;;code;char;;
2;create_date;datetime;;create_date;datetime;;
3;sequence;integer;;sequence;integer;;
4;write_uid;many2one;res.users;write_uid;many2one;res.users;
5;currency_id;many2one;res.currency;currency_id;many2one;res.currency;
6;at_least_one_inbound;boolean;;at_least_one_inbound;boolean;;
7;account_control_ids;many2many;account.account;account_control_ids;many2many;account.account;
8;bank_statements_source;selection;;bank_statements_source;selection;;
9;id;integer;;id;integer;;
10;create_uid;many2one;res.users;create_uid;many2one;res.users;
11;display_name;char;;display_name;char;;
12;__last_update;datetime;;__last_update;datetime;;
13;company_id;many2one;res.company;company_id;many2one;res.company;
17;show_on_dashboard;boolean;;show_on_dashboard;boolean;;
18;profit_account_id;many2one;account.account;profit_account_id;many2one;account.account;
19;type_control_ids;many2many;account.account.type;type_control_ids;many2many;account.account.type;
20;write_date;datetime;;write_date;datetime;;
21;loss_account_id;many2one;account.account;loss_account_id;many2one;account.account;
22;name;char;;name;char;;
23;type;selection;;type;selection;;
24;at_least_one_outbound;boolean;;at_least_one_outbound;boolean;;
25;refund_sequence;boolean;;refund_sequence;boolean;;
26;;;;active;boolean;;TRUE
27;;;;invoice_reference_type;selection;;none
28;;;;invoice_reference_model;selection;;odoo
