source_model;stock.location;target_model;stock.location;;;;
no;field1;type1;relation1;field2;type2;relation2;default
1;comment;text;;comment;text;;
2;create_date;datetime;;create_date;datetime;;
3;write_date;datetime;;write_date;datetime;;
4;write_uid;many2one;res.users;write_uid;many2one;res.users;
5;valuation_in_account_id;many2one;account.account;valuation_in_account_id;many2one;account.account;
6;location_id;many2one;stock.location;location_id;many2one;stock.location;
7;id;integer;;id;integer;;
8;removal_strategy_id;many2one;product.removal;removal_strategy_id;many2one;product.removal;
9;scrap_location;boolean;;scrap_location;boolean;;
10;display_name;char;;display_name;char;;
11;__last_update;datetime;;__last_update;datetime;;
12;company_id;many2one;res.company;company_id;many2one;res.company;
13;complete_name;char;;complete_name;char;;
14;usage;selection;;usage;selection;;
15;create_uid;many2one;res.users;create_uid;many2one;res.users;
16;barcode;char;;barcode;char;;
17;child_ids;one2many;stock.location;child_ids;one2many;stock.location;
18;posz;integer;;posz;integer;;
19;posx;integer;;posx;integer;;
20;posy;integer;;posy;integer;;
21;active;boolean;;active;boolean;;
22;valuation_out_account_id;many2one;account.account;valuation_out_account_id;many2one;account.account;
23;name;char;;name;char;;
24;return_location;boolean;;return_location;boolean;;
