source_model;stock.picking.type;target_model;stock.picking.type;;;;
no;field1;type1;relation1;field2;type2;relation2;default
1;code;selection;;code;selection;;
2;create_date;datetime;;create_date;datetime;;
3;count_mo_late;integer;;count_mo_late;integer;;
4;sequence;integer;;sequence;integer;;
5;color;integer;;color;integer;;
6;count_picking_draft;integer;;count_picking_draft;integer;;
7;write_uid;many2one;res.users;write_uid;many2one;res.users;
8;count_mo_waiting;integer;;count_mo_waiting;integer;;
9;count_mo_todo;integer;;count_mo_todo;integer;;
10;use_create_lots;boolean;;use_create_lots;boolean;;
11;id;integer;;id;integer;;
12;create_uid;many2one;res.users;create_uid;many2one;res.users;
13;default_location_dest_id;many2one;stock.location;default_location_dest_id;many2one;stock.location;
14;show_entire_packs;boolean;;show_entire_packs;boolean;;
15;display_name;char;;display_name;char;;
16;__last_update;datetime;;__last_update;datetime;;
17;use_existing_lots;boolean;;use_existing_lots;boolean;;
18;count_picking_waiting;integer;;count_picking_waiting;integer;;
19;count_picking;integer;;count_picking;integer;;
21;sequence_id;many2one;ir.sequence;sequence_id;many2one;ir.sequence;
22;write_date;datetime;;write_date;datetime;;
23;active;boolean;;active;boolean;;
24;count_picking_backorders;integer;;count_picking_backorders;integer;;
25;name;char;;name;char;;
26;count_picking_ready;integer;;count_picking_ready;integer;;
27;return_picking_type_id;many2one;stock.picking.type;return_picking_type_id;many2one;stock.picking.type;
28;count_picking_late;integer;;count_picking_late;integer;;
29;default_location_src_id;many2one;stock.location;default_location_src_id;many2one;stock.location;
30;rate_picking_backorders;integer;;rate_picking_backorders;integer;;
31;rate_picking_late;integer;;rate_picking_late;integer;;
32;use_create_components_lots;;;use_create_components_lots;boolean;;
33;;;;barcode;char;;
34;;;;company_id;many2one;res.company;1
35;;;;sequence_code;char;;A
36;;;;show_reserved;boolean;;
37;;;;show_operations;boolean;;
