model,account.asset.depreciation.line,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,asset_id,many2one,account.asset.asset,Asset,,,,True,version 1
2,create_uid,many2one,res.users,Created by,,,,False,version 1
3,display_name,char,,Display Name,,,,False,version 1
4,name,char,,Depreciation Name,,,,True,version 1
5,parent_state,selection,,State of Asset,,,,False,version 1
6,__last_update,datetime,,Last Modified on,,,,False,version 1
7,move_check,boolean,,Linked,,,,False,version 1
8,depreciation_date,date,,Depreciation Date,,,,False,version 1
9,sequence,integer,,Sequence,,,,True,version 1
10,write_uid,many2one,res.users,Last Updated by,,,,False,version 1
11,amount,float,,Current Depreciation,,,,True,version 1
12,write_date,datetime,,Last Updated on,,,,False,version 1
13,move_posted_check,boolean,,Posted,,,,False,version 1
14,id,integer,,ID,,,,False,version 1
15,create_date,datetime,,Created on,,,,False,version 1
16,remaining_value,float,,Next Period Depreciation,,,,True,version 1
17,move_id,many2one,account.move,Depreciation Entry,,,,False,version 1
18,depreciated_value,float,,Cumulative Depreciation,,,,True,version 1
,,,,
,,,,
