model;account.invoice.tax;transient;False
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;create_uid;many2one;res.users;Created by;;;;False;version 1
2;display_name;char;;Display Name;;;;False;version 1
3;account_id;many2one;account.account;Tax Account;;;;True;version 1
4;__last_update;datetime;;Last Modified on;;;;False;version 1
5;invoice_id;many2one;account.invoice;Invoice;;;;False;version 1
6;sequence;integer;;Sequence;;;;False;version 1
7;manual;boolean;;Manual;;;;False;version 1
8;company_id;many2one;res.company;Company;;;;False;version 1
9;write_uid;many2one;res.users;Last Updated by;;;;False;version 1
10;currency_id;many2one;res.currency;Currency;;;;False;version 1
11;amount;monetary;;Amount;;;;False;version 1
12;base;monetary;;Base;;;;False;version 1
13;write_date;datetime;;Last Updated on;;;;False;version 1
14;account_analytic_id;many2one;account.analytic.account;Analytic account;;;;False;version 1
15;create_date;datetime;;Created on;;;;False;version 1
16;tax_id;many2one;account.tax;Tax;;;;False;version 1
17;id;integer;;ID;;;;False;version 1
18;name;char;;Tax Description;;;;True;version 1
;;;;
;;;;
