model;account.move.line.reconcile.writeoff;transient;True
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;comment;char;;Comment;;;;True;version 1
2;create_uid;many2one;res.users;Created by;;;;False;version 1
3;display_name;char;;Display Name;;;;False;version 1
4;__last_update;datetime;;Last Modified on;;;;False;version 1
5;writeoff_acc_id;many2one;account.account;Write-Off account;;;;True;version 1
6;journal_id;many2one;account.journal;Write-Off Journal;;;;True;version 1
7;analytic_id;many2one;account.analytic.account;Analytic Account;;;;False;version 1
8;write_date;datetime;;Last Updated on;;;;False;version 1
9;date_p;date;;Date;;;;False;version 1
10;create_date;datetime;;Created on;;;;False;version 1
11;write_uid;many2one;res.users;Last Updated by;;;;False;version 1
12;id;integer;;ID;;;;False;version 1
;;;;
;;;;
