model,generate.faktur.pajak,transient,True
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,dot2,char,,Dot,,,,False,version 1
2,strip2,char,,Strip,,,,False,version 1
3,display_name,char,,Display Name,,,,False,version 1
4,create_uid,many2one,res.users,Created by,,,,False,version 1
5,dot,char,,Dot,,,,False,version 1
6,__last_update,datetime,,Last Modified on,,,,False,version 1
7,nomor_perusahaan,char,,Nomor Perusahaan,,,,True,version 1
8,write_uid,many2one,res.users,Last Updated by,,,,False,version 1
9,nomor_faktur_awal,char,,Nomor Faktur Awal,,,,False,version 1
10,tahun,char,,Tahun Penerbit,,,,True,version 1
11,nomor_faktur_akhir,char,,Nomor Faktur Akhir,,,,False,version 1
12,write_date,datetime,,Last Updated on,,,,False,version 1
13,strip,char,,Strip,,,,False,version 1
14,id,integer,,ID,,,,False,version 1
15,create_date,datetime,,Created on,,,,False,version 1
16,type,selection,,Type,,,,True,version 1
17,fp_company_id,many2one,res.company,Company,,,,False,version 1
18,nomor_akhir,char,,Nomor Faktur Akhir,,,,True,version 1
19,nomor_awal,char,,Nomor Faktur Awal,,,,True,version 1
,,,,
,,,,
