model,jasper.create.data.template,transient,True
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,,,,False,version 1
2,display_name,char,,Display Name,,,,False,version 1
3,__last_update,datetime,,Last Modified on,,,,False,version 1
4,filename,char,,File Name,,,,False,version 1
5,depth,integer,,Depth,,,,True,version 1
6,write_date,datetime,,Last Updated on,,,,False,version 1
7,create_date,datetime,,Created on,,,,False,version 1
8,model,many2one,ir.model,Model,,,,True,version 1
9,write_uid,many2one,res.users,Last Updated by,,,,False,version 1
10,data,binary,,XML,,,,False,version 1
11,id,integer,,ID,,,,False,version 1
,,,,
,,,,
