model,makloon.document.line,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,,,,False,version 1
2,is_rangkapdua,boolean,,Rangkap 2,,,,False,version 1
3,is_approve,boolean,,Status Approval,,,,False,version 1
4,task_id,many2one,project.task,Task,,,,False,version 1
5,__last_update,datetime,,Last Modified on,,,,False,version 1
6,file_name,char,,Filename,,,,False,version 1
7,upload_file,binary,,File Dokumen,,,,False,version 1
8,approve_by,many2one,res.users,Approved By,,,,False,version 1
9,makloon_doc_id,many2one,document.name,Nama Document,,,,False,version 1
10,stage_id,many2one,project.task.type,Stage,,,,False,version 1
11,type_doc,selection,,Type Dokumen,,,,False,version 1
12,write_date,datetime,,Last Updated on,,,,False,version 1
13,upload_time,datetime,,Tanggal Upload,,,,False,version 1
14,upload_by,many2one,res.users,Uploaded By,,,,False,version 1
15,create_date,datetime,,Created on,,,,False,version 1
16,stage_line,char,,Alur Proses,,,,False,version 1
17,write_uid,many2one,res.users,Last Updated by,,,,False,version 1
18,id,integer,,ID,,,,False,version 1
19,is_hide_approver,boolean,,Hiding,,,,False,version 1
20,display_name,char,,Display Name,,,,False,version 1
,,,,
,,,,
