model,makloon.product.line.wizard,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,,,,False,version 1
2,stage_id,many2one,project.task.type,Stage,,,,False,version 1
3,display_name,char,,Display Name,,,,False,version 1
4,product_id,many2one,product.template,Nama Produk,,,,False,version 1
5,stock_dke,float,,Stock DKE,,,,False,version 1
6,__last_update,datetime,,Last Modified on,,,,False,version 1
7,task_id,many2one,project.task,Task,,,,False,version 1
8,is_readonly,boolean,,Readonly,,,,False,version 1
9,write_uid,many2one,res.users,Last Updated by,,,,False,version 1
10,kemasan,selection,,Kemasan,,,,False,version 1
11,write_date,datetime,,Last Updated on,,,,False,version 1
12,stock_ciawi,float,,Stock Ciawi,,,,False,version 1
13,create_date,datetime,,Created on,,,,False,version 1
14,id,integer,,ID,,,,False,version 1
,,,,
,,,,
