model,mrp.product.produce,transient,True
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,,,,False,version 1
2,display_name,char,,Display Name,,,,False,version 1
3,product_id,many2one,product.product,Product,,,,False,version 1
4,__last_update,datetime,,Last Modified on,,,,False,version 1
5,product_uom_id,many2one,product.uom,Unit of Measure,,,,False,version 1
6,product_tracking,selection,,Tracking,,,,False,version 1
7,write_uid,many2one,res.users,Last Updated by,,,,False,version 1
8,create_date,datetime,,Created on,,,,False,version 1
9,consume_line_ids,many2many,stock.move.lots,Product to Track,,,,False,version 1
10,production_id,many2one,mrp.production,Production,,,,False,version 1
11,product_qty,float,,Quantity,,,,True,version 1
12,write_date,datetime,,Last Updated on,,,,False,version 1
13,lot_id,many2one,stock.production.lot,Lot,,,,False,version 1
14,serial,boolean,,Requires Serial,,,,False,version 1
15,id,integer,,ID,,,,False,version 1
,,,,
,,,,
