model,product.discount,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,,,,False,version 1
2,display_name,char,,Display Name,,,,False,version 1
3,product_id,many2one,product.product,Product Variant,,,,False,version 1
4,__last_update,datetime,,Last Modified on,,,,False,version 1
5,write_uid,many2one,res.users,Last Updated by,,,,False,version 1
6,discount,float,,Discount (%),,,,False,version 1
7,product_template_id,many2one,product.template,Product Template,,,,False,version 1
8,write_date,datetime,,Last Updated on,,,,False,version 1
9,create_date,datetime,,Created on,,,,False,version 1
10,min_qty,float,,Minimal Quantity,,,,False,version 1
11,partner_id,many2one,res.partner,Partner,,,,False,version 1
12,id,integer,,ID,,,,False,version 1
,,,,
,,,,
