model,production.order,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,,,,False,version 1
2,user_id,many2one,res.users,Assigned To,,,,True,version 1
3,name,char,,Name,,,,True,version 1
4,picking_type_id,many2one,stock.picking.type,Type,,,,True,version 1
5,order_line_ids,one2many,production.order.line,Production Lines,,,,True,version 1
6,notes,text,,Notes,,,,False,version 1
7,__last_update,datetime,,Last Modified on,,,,False,version 1
8,write_uid,many2one,res.users,Last Updated by,,,,False,version 1
9,invoice_ids,one2many,account.invoice,Invoices,,,,False,version 1
10,state,selection,,Status,,,,False,version 1
11,write_date,datetime,,Last Updated on,,,,False,version 1
12,date,date,,Order Date,,,,True,version 1
13,display_name,char,,Display Name,,,,False,version 1
14,create_date,datetime,,Created on,,,,False,version 1
15,partner_ref,char,,Partner ref.,,,,False,version 1
16,partner_id,many2one,res.partner,Supplier,,,,True,version 1
17,id,integer,,ID,,,,False,version 1
,,,,
,,,,
