model;purchase.config.settings;transient;True
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;group_uom;selection;;Units of Measure;;;;False;version 1
2;group_warning_purchase;selection;;Warning;;;;False;version 1
3;display_name;char;;Display Name;;;;False;version 1
4;module_stock_dropshipping;selection;;Dropshipping;;;;False;version 1
5;group_costing_method;selection;;Costing Methods;;;;False;version 1
6;po_lock;selection;;Purchase Order Modification *;;;;False;version 1
7;__last_update;datetime;;Last Modified on;;;;False;version 1
8;company_id;many2one;res.company;Company;;;;True;version 1
9;write_uid;many2one;res.users;Last Updated by;;;;False;version 1
10;company_currency_id;many2one;res.currency;Currency;;;;False;version 1
11;group_manage_vendor_price;selection;;Vendor Price;;;;False;version 1
12;po_lead;float;;Purchase Lead Time *;;;;False;version 1
13;po_double_validation;selection;;Levels of Approvals *;;;;False;version 1
14;write_date;datetime;;Last Updated on;;;;False;version 1
15;create_uid;many2one;res.users;Created by;;;;False;version 1
16;create_date;datetime;;Created on;;;;False;version 1
17;group_product_variant;selection;;Product Variants;;;;False;version 1
18;module_purchase_requisition;selection;;Calls for Tenders;;;;False;version 1
19;id;integer;;ID;;;;False;version 1
20;po_double_validation_amount;monetary;;Double validation amount *;;;;False;version 1
;;;;
;;;;
