model,user.datas,transient,True
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,,,,False,version 1
2,groups_id,many2many,res.groups,Groups,,,,False,version 1
3,create_date,datetime,,Created on,,,,False,version 1
4,__last_update,datetime,,Last Modified on,,,,False,version 1
5,write_uid,many2one,res.users,Last Updated by,,,,False,version 1
6,write_date,datetime,,Last Updated on,,,,False,version 1
7,rel_id,many2one,partner.user,Rel id,,,,False,version 1
8,login,char,,Login,,,,False,version 1
9,password,char,,Password,,,,False,version 1
10,partner_id,many2one,res.partner,Partner,,,,False,version 1
11,id,integer,,ID,,,,False,version 1
12,display_name,char,,Display Name,,,,False,version 1
,,,,
,,,,
