model,web.dashboard,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,menu_id,many2one,ir.ui.menu,Generated Menu,,,,False,version 1
2,create_date,datetime,,Created on,,,,False,version 1
3,sequence,integer,,Sequence,,,,False,version 1
4,iteration_model_id,many2one,ir.model,Iteration Model,,,,False,version 1
5,write_uid,many2one,res.users,Last Updated by,,,,False,version 1
6,tableau_server_url,char,,Tableau Server,,,,False,version 1
7,id,integer,,ID,,,,False,version 1
8,create_uid,many2one,res.users,Created by,,,,False,version 1
9,dashboard_source,selection,,Dashboard Source,,,,True,version 1
10,__last_update,datetime,,Last Modified on,,,,False,version 1
11,iteration_limit,integer,,Limit,,,,False,version 1
12,iteration_activate_record_rules,boolean,,Activate Record Rules,,,,False,version 1
13,tableau_url,char,,Tableau Dashboard,,,,False,version 1
14,iteration_model,char,,Model,,,,False,version 1
15,iteration_sort_by,many2one,ir.model.fields,Sort By,,,,False,version 1
16,write_date,datetime,,Last Updated on,,,,False,version 1
17,display_name,char,,Display Name,,,,False,version 1
18,iteration_sort,selection,,Sort,,,,True,version 1
19,block_ids,one2many,web.dashboard.block,Blocks,,,,False,version 1
20,hide_individually,boolean,,Hide as an Individual Dashboard,,,,False,version 1
21,parent_menu_id,many2one,ir.ui.menu,Add Dashboard Under Menu,,,,False,version 1
22,group_ids,many2many,res.groups,Groups,,,,False,version 1
23,iteration_domain,char,,Iteration Filter,,,,False,version 1
24,name,char,,Name,,,,True,version 1
25,iteration_user_field_id,many2one,ir.model.fields,User Field,,,,False,version 1
,,,,
,,,,
