model;workflow.workitem;transient;False
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;act_id;many2one;workflow.activity;Activity;;;;True;version 1
2;display_name;char;;Display Name;;;;False;version 1
3;__last_update;datetime;;Last Modified on;;;;False;version 1
4;wkf_id;many2one;workflow;Workflow;;;;False;version 1
5;inst_id;many2one;workflow.instance;Instance;;;;True;version 1
6;subflow_id;many2one;workflow.instance;Subflow;;;;False;version 1
7;state;char;;Status;;;;False;version 1
8;id;integer;;ID;;;;False;version 1
;;;;
;;;;
