model;account.analytic.group;transient;False
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;create_uid;;;;many2one;res.users;Created by;False;version 2
2;children_ids;;;;one2many;account.analytic.group;Childrens;False;version 2
3;display_name;;;;char;;Display Name;False;version 2
4;name;;;;char;;Name;True;version 2
5;parent_id;;;;many2one;account.analytic.group;Parent;False;version 2
6;__last_update;;;;datetime;;Last Modified on;False;version 2
7;company_id;;;;many2one;res.company;Company;False;version 2
8;write_uid;;;;many2one;res.users;Last Updated by;False;version 2
9;parent_path;;;;char;;Parent Path;False;version 2
10;complete_name;;;;char;;Complete Name;False;version 2
11;write_date;;;;datetime;;Last Updated on;False;version 2
12;create_date;;;;datetime;;Created on;False;version 2
13;id;;;;integer;;ID;False;version 2
14;description;;;;text;;Description;False;version 2
;;;;
;;;;
