model,account.financial.html.report,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,,,,many2one,res.users,Created by,False,version 2
2,comparison,,,,boolean,,Allow comparison,False,version 2
3,applicable_filters_ids,,,,many2many,ir.filters,Applicable Filters,False,version 2
4,display_name,,,,char,,Display Name,False,version 2
5,name,,,,char,,Name,False,version 2
6,parent_id,,,,many2one,ir.ui.menu,Parent Menu,False,version 2
7,unfold_all_filter,,,,boolean,,Show unfold all filter,False,version 2
8,__last_update,,,,datetime,,Last Modified on,False,version 2
9,show_journal_filter,,,,boolean,,Allow filtering by journals,False,version 2
10,company_id,,,,many2one,res.company,Company,False,version 2
11,generated_menu_id,,,,many2one,ir.ui.menu,Menu Item,False,version 2
12,write_uid,,,,many2one,res.users,Last Updated by,False,version 2
13,date_range,,,,boolean,,Based on date ranges,False,version 2
14,analytic,,,,boolean,,Allow analytic filters,False,version 2
15,create_date,,,,datetime,,Created on,False,version 2
16,tax_report,,,,boolean,,Tax Report,False,version 2
17,write_date,,,,datetime,,Last Updated on,False,version 2
18,line_ids,,,,one2many,account.financial.html.report.line,Lines,False,version 2
19,id,,,,integer,,ID,False,version 2
,,,,
,,,,
