model;account.journal.group;transient;False
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;create_uid;;;;many2one;res.users;Created by;False;version 2
2;excluded_journal_ids;;;;many2many;account.journal;Excluded Journals;False;version 2
3;display_name;;;;char;;Display Name;False;version 2
4;name;;;;char;;Journal Group;True;version 2
5;sequence;;;;integer;;Sequence;False;version 2
6;__last_update;;;;datetime;;Last Modified on;False;version 2
7;company_id;;;;many2one;res.company;Company;True;version 2
8;write_uid;;;;many2one;res.users;Last Updated by;False;version 2
9;write_date;;;;datetime;;Last Updated on;False;version 2
10;create_date;;;;datetime;;Created on;False;version 2
11;id;;;;integer;;ID;False;version 2
;;;;
;;;;
