model;account.multicurrency.revaluation.wizard;transient;True
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;create_uid;;;;many2one;res.users;Created by;False;version 2
2;expense_provision_account_id;;;;many2one;account.account;Expense account;True;version 2
3;__last_update;;;;datetime;;Last Modified on;False;version 2
4;company_id;;;;many2one;res.company;Company;False;version 2
5;journal_id;;;;many2one;account.journal;Journal;True;version 2
6;income_provision_account_id;;;;many2one;account.account;Income Account;True;version 2
7;show_warning_move_id;;;;many2one;account.move;Show Warning Move;False;version 2
8;reversal_date;;;;date;;Reversal Date;True;version 2
9;write_date;;;;datetime;;Last Updated on;False;version 2
10;preview_data;;;;text;;Preview Data;False;version 2
11;date;;;;date;;Date;True;version 2
12;display_name;;;;char;;Display Name;False;version 2
13;create_date;;;;datetime;;Created on;False;version 2
14;write_uid;;;;many2one;res.users;Last Updated by;False;version 2
15;id;;;;integer;;ID;False;version 2
;;;;
;;;;
