model;account.online.link;transient;False
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;message_follower_ids;;;;one2many;mail.followers;Followers;False;version 2
2;create_date;;;;datetime;;Created on;False;version 2
3;auto_sync;;;;boolean;;Automatic synchronization;False;version 2
4;next_refresh;;;;datetime;;Next synchronization;False;version 2
5;message_needaction;;;;boolean;;Action Needed;False;version 2
6;message_channel_ids;;;;many2many;mail.channel;Followers (Channels);False;version 2
7;message_partner_ids;;;;many2many;res.partner;Followers (Partners);False;version 2
8;write_uid;;;;many2one;res.users;Last Updated by;False;version 2
9;message_main_attachment_id;;;;many2one;ir.attachment;Main Attachment;False;version 2
10;message_has_error;;;;boolean;;Message Delivery error;False;version 2
11;account_online_account_ids;;;;one2many;account.online.account;Account Online Account;False;version 2
12;message_ids;;;;one2many;mail.message;Messages;False;version 2
13;create_uid;;;;many2one;res.users;Created by;False;version 2
14;display_name;;;;char;;Display Name;False;version 2
15;message_is_follower;;;;boolean;;Is Follower;False;version 2
16;__last_update;;;;datetime;;Last Modified on;False;version 2
17;message_has_sms_error;;;;boolean;;SMS Delivery error;False;version 2
18;id;;;;integer;;ID;False;version 2
19;company_id;;;;many2one;res.company;Company;True;version 2
20;provider_data;;;;char;;Provider Data;False;version 2
21;state;;;;selection;;State;True;version 2
22;message_attachment_count;;;;integer;;Attachment Count;False;version 2
23;message_unread_counter;;;;integer;;Unread Messages Counter;False;version 2
24;message_has_error_counter;;;;integer;;Number of errors;False;version 2
25;client_id;;;;char;;Client;False;version 2
26;refresh_token;;;;char;;Refresh Token;False;version 2
27;website_message_ids;;;;one2many;mail.message;Website Messages;False;version 2
28;name;;;;char;;Name;False;version 2
29;access_token;;;;char;;Access Token;False;version 2
30;last_refresh;;;;datetime;;Last Refresh;False;version 2
31;write_date;;;;datetime;;Last Updated on;False;version 2
32;message_unread;;;;boolean;;Unread Messages;False;version 2
33;message_needaction_counter;;;;integer;;Number of Actions;False;version 2
;;;;
;;;;
