model;account.reconcile.model.line.template;transient;False
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;amount_type;;;;selection;;Amount Type;True;version 2
2;model_id;;;;many2one;account.reconcile.model.template;Model;False;version 2
3;__last_update;;;;datetime;;Last Modified on;False;version 2
4;display_name;;;;char;;Display Name;False;version 2
5;account_id;;;;many2one;account.account.template;Account;False;version 2
6;amount_string;;;;char;;Amount;False;version 2
7;sequence;;;;integer;;Sequence;True;version 2
8;label;;;;char;;Journal Item Label;False;version 2
9;write_date;;;;datetime;;Last Updated on;False;version 2
10;create_uid;;;;many2one;res.users;Created by;False;version 2
11;create_date;;;;datetime;;Created on;False;version 2
12;write_uid;;;;many2one;res.users;Last Updated by;False;version 2
13;force_tax_included;;;;boolean;;Tax Included in Price;False;version 2
14;id;;;;integer;;ID;False;version 2
15;tax_ids;;;;many2many;account.tax.template;Taxes;False;version 2
;;;;
;;;;
