model;account.tax.repartition.line.template;transient;False
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;create_uid;;;;many2one;res.users;Created by;False;version 2
2;use_in_tax_closing;;;;boolean;;Tax Closing Entry;False;version 2
3;display_name;;;;char;;Display Name;False;version 2
4;account_id;;;;many2one;account.account.template;Account;False;version 2
5;plus_report_line_ids;;;;many2many;account.tax.report.line;Plus Tax Report Lines;False;version 2
6;minus_report_line_ids;;;;many2many;account.tax.report.line;Minus Report Lines;False;version 2
7;__last_update;;;;datetime;;Last Modified on;False;version 2
8;tag_ids;;;;many2many;account.account.tag;Financial Tags;False;version 2
9;write_uid;;;;many2one;res.users;Last Updated by;False;version 2
10;factor_percent;;;;float;;%;True;version 2
11;invoice_tax_id;;;;many2one;account.tax.template;Invoice Tax;False;version 2
12;write_date;;;;datetime;;Last Updated on;False;version 2
13;create_date;;;;datetime;;Created on;False;version 2
14;repartition_type;;;;selection;;Based On;True;version 2
15;id;;;;integer;;ID;False;version 2
16;refund_tax_id;;;;many2one;account.tax.template;Refund Tax;False;version 2
;;;;
;;;;
