model;account.transfer.model.line;transient;False
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;percent_is_readonly;;;;boolean;;Percent Is Readonly;False;version 2
2;create_uid;;;;many2one;res.users;Created by;False;version 2
3;display_name;;;;char;;Display Name;False;version 2
4;account_id;;;;many2one;account.account;Destination Account;True;version 2
5;sequence;;;;integer;;Sequence;False;version 2
6;__last_update;;;;datetime;;Last Modified on;False;version 2
7;percent;;;;float;;Percent;True;version 2
8;write_uid;;;;many2one;res.users;Last Updated by;False;version 2
9;write_date;;;;datetime;;Last Updated on;False;version 2
10;create_date;;;;datetime;;Created on;False;version 2
11;partner_ids;;;;many2many;res.partner;Partner Filter;False;version 2
12;transfer_model_id;;;;many2one;account.transfer.model;Transfer Model;True;version 2
13;id;;;;integer;;ID;False;version 2
14;analytic_account_ids;;;;many2many;account.analytic.account;Analytic Filter;False;version 2
;;;;
;;;;
