model,hr.contract.employee.report,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,wage,,,,float,,Wage,False,version 2
2,employee_id,,,,many2one,hr.employee,Employee,False,version 2
3,display_name,,,,char,,Display Name,False,version 2
4,contract_id,,,,many2one,hr.contract,Contract,False,version 2
5,departure_reason,,,,selection,,Departure Reason,False,version 2
6,__last_update,,,,datetime,,Last Modified on,False,version 2
7,count_employee_exit,,,,integer,,# Departure Employee,False,version 2
8,company_id,,,,many2one,res.company,Company,False,version 2
9,age_sum,,,,float,,Duration Contract,False,version 2
10,count_new_employee,,,,integer,,# New Employees,False,version 2
11,date_end_contract,,,,date,,Date Last Contract Ended,False,version 2
12,end_date_months,,,,integer,,Months of last date of this month since 01/01/1970,False,version 2
13,date,,,,date,,Date,False,version 2
14,start_date_months,,,,integer,,Months of first date of this month since 01/01/1970,False,version 2
15,id,,,,integer,,ID,False,version 2
16,department_id,,,,many2one,hr.department,Department,False,version 2
,,,,
,,,,
