model;ir.default;transient;False
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;create_uid;;;;many2one;res.users;Created by;False;version 2
2;user_id;;;;many2one;res.users;User;False;version 2
3;__last_update;;;;datetime;;Last Modified on;False;version 2
4;field_id;;;;many2one;ir.model.fields;Field;True;version 2
5;company_id;;;;many2one;res.company;Company;False;version 2
6;json_value;;;;char;;Default Value (JSON format);True;version 2
7;write_uid;;;;many2one;res.users;Last Updated by;False;version 2
8;create_date;;;;datetime;;Created on;False;version 2
9;write_date;;;;datetime;;Last Updated on;False;version 2
10;display_name;;;;char;;Display Name;False;version 2
11;id;;;;integer;;ID;False;version 2
12;condition;;;;char;;Condition;False;version 2
;;;;
;;;;
