model;payment.link.wizard;transient;True
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;create_uid;;;;many2one;res.users;Created by;False;version 2
2;partner_id;;;;many2one;res.partner;Partner;False;version 2
3;display_name;;;;char;;Display Name;False;version 2
4;description;;;;char;;Payment Ref;False;version 2
5;__last_update;;;;datetime;;Last Modified on;False;version 2
6;access_token;;;;char;;Access Token;False;version 2
7;res_model;;;;char;;Related Document Model;True;version 2
8;partner_email;;;;char;;Email;False;version 2
9;company_id;;;;many2one;res.company;Company;False;version 2
10;currency_id;;;;many2one;res.currency;Currency;False;version 2
11;amount;;;;monetary;;Amount;True;version 2
12;link;;;;char;;Payment Link;False;version 2
13;amount_max;;;;monetary;;Amount Max;False;version 2
14;write_date;;;;datetime;;Last Updated on;False;version 2
15;create_date;;;;datetime;;Created on;False;version 2
16;write_uid;;;;many2one;res.users;Last Updated by;False;version 2
17;res_id;;;;integer;;Related Document ID;True;version 2
18;id;;;;integer;;ID;False;version 2
;;;;
;;;;
