model;portal.share;transient;True
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;create_uid;;;;many2one;res.users;Created by;False;version 2
2;display_name;;;;char;;Display Name;False;version 2
3;__last_update;;;;datetime;;Last Modified on;False;version 2
4;res_model;;;;char;;Related Document Model;True;version 2
5;write_uid;;;;many2one;res.users;Last Updated by;False;version 2
6;note;;;;text;;Note;False;version 2
7;access_warning;;;;text;;Access warning;False;version 2
8;write_date;;;;datetime;;Last Updated on;False;version 2
9;create_date;;;;datetime;;Created on;False;version 2
10;partner_ids;;;;many2many;res.partner;Recipients;True;version 2
11;res_id;;;;integer;;Related Document ID;True;version 2
12;id;;;;integer;;ID;False;version 2
13;share_link;;;;char;;Link;False;version 2
;;;;
;;;;
