model;product.template.attribute.line;transient;False
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;create_uid;;;;many2one;res.users;Created by;False;version 2
2;display_name;;;;char;;Display Name;False;version 2
3;__last_update;;;;datetime;;Last Modified on;False;version 2
4;value_ids;;;;many2many;product.attribute.value;Values;False;version 2
5;product_template_value_ids;;;;one2many;product.template.attribute.value;Product Attribute Values;False;version 2
6;product_tmpl_id;;;;many2one;product.template;Product Template;True;version 2
7;attribute_id;;;;many2one;product.attribute;Attribute;True;version 2
8;write_date;;;;datetime;;Last Updated on;False;version 2
9;active;;;;boolean;;Active;False;version 2
10;create_date;;;;datetime;;Created on;False;version 2
11;write_uid;;;;many2one;res.users;Last Updated by;False;version 2
12;id;;;;integer;;ID;False;version 2
;;;;
;;;;
