model;product.template.attribute.value;transient;False
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;create_uid;;;;many2one;res.users;Created by;False;version 2
2;product_tmpl_id;;;;many2one;product.template;Product Template;False;version 2
3;is_custom;;;;boolean;;Is custom value;False;version 2
4;display_name;;;;char;;Display Name;False;version 2
5;name;;;;char;;Value;False;version 2
6;html_color;;;;char;;HTML Color Index;False;version 2
7;__last_update;;;;datetime;;Last Modified on;False;version 2
8;attribute_id;;;;many2one;product.attribute;Attribute;False;version 2
9;price_extra;;;;float;;Value Price Extra;False;version 2
10;currency_id;;;;many2one;res.currency;Currency;False;version 2
11;create_date;;;;datetime;;Created on;False;version 2
12;product_attribute_value_id;;;;many2one;product.attribute.value;Attribute Value;True;version 2
13;display_type;;;;selection;;Display Type;False;version 2
14;ptav_product_variant_ids;;;;many2many;product.product;Related Variants;False;version 2
15;write_date;;;;datetime;;Last Updated on;False;version 2
16;ptav_active;;;;boolean;;Active;False;version 2
17;write_uid;;;;many2one;res.users;Last Updated by;False;version 2
18;id;;;;integer;;ID;False;version 2
19;attribute_line_id;;;;many2one;product.template.attribute.line;Attribute Line;True;version 2
20;exclude_for;;;;one2many;product.template.attribute.exclusion;Exclude for;False;version 2
;;;;
;;;;
