model;snailmail.letter.missing.required.fields;transient;True
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;create_uid;;;;many2one;res.users;Created by;False;version 2
2;letter_id;;;;many2one;snailmail.letter;Letter;False;version 2
3;display_name;;;;char;;Display Name;False;version 2
4;zip;;;;char;;Zip;False;version 2
5;city;;;;char;;City;False;version 2
6;street2;;;;char;;Street2;False;version 2
7;__last_update;;;;datetime;;Last Modified on;False;version 2
8;country_id;;;;many2one;res.country;Country;False;version 2
9;write_uid;;;;many2one;res.users;Last Updated by;False;version 2
10;create_date;;;;datetime;;Created on;False;version 2
11;street;;;;char;;Street;False;version 2
12;write_date;;;;datetime;;Last Updated on;False;version 2
13;state_id;;;;many2one;res.country.state;State;False;version 2
14;partner_id;;;;many2one;res.partner;Partner;False;version 2
15;id;;;;integer;;ID;False;version 2
;;;;
;;;;
