model;stock.move.line;transient;False
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;origin;;;;char;;Source;False;version 2
2;lots_visible;;;;boolean;;Lots Visible;False;version 2
3;create_date;;;;datetime;;Created on;False;version 2
4;reference;;;;char;;Reference;False;version 2
5;result_package_id;;;;many2one;stock.quant.package;Destination Package;False;version 2
6;product_uom_qty;;;;float;;Reserved;True;version 2
7;picking_type_use_existing_lots;;;;boolean;;Use Existing Lots/Serial Numbers;False;version 2
8;picking_type_use_create_lots;;;;boolean;;Create New Lots/Serial Numbers;False;version 2
9;write_uid;;;;many2one;res.users;Last Updated by;False;version 2
10;package_id;;;;many2one;stock.quant.package;Source Package;False;version 2
11;picking_code;;;;selection;;Type of Operation;False;version 2
12;product_qty;;;;float;;Real Reserved Quantity;False;version 2
13;lot_id;;;;many2one;stock.production.lot;Lot/Serial Number;False;version 2
14;location_id;;;;many2one;stock.location;From;True;version 2
15;id;;;;integer;;ID;False;version 2
16;create_uid;;;;many2one;res.users;Created by;False;version 2
17;display_name;;;;char;;Display Name;False;version 2
18;__last_update;;;;datetime;;Last Modified on;False;version 2
19;description_picking;;;;text;;Description picking;False;version 2
20;produce_line_ids;;;;many2many;stock.move.line;Produce Line;False;version 2
21;company_id;;;;many2one;res.company;Company;True;version 2
22;state;;;;selection;;Status;False;version 2
23;consume_line_ids;;;;many2many;stock.move.line;Consume Line;False;version 2
24;is_initial_demand_editable;;;;boolean;;Is initial demand editable;False;version 2
25;picking_type_entire_packs;;;;boolean;;Move Entire Packages;False;version 2
26;qty_done;;;;float;;Done;False;version 2
27;owner_id;;;;many2one;res.partner;From Owner;False;version 2
28;package_level_id;;;;many2one;stock.package_level;Package Level;False;version 2
29;write_date;;;;datetime;;Last Updated on;False;version 2
30;date;;;;datetime;;Date;True;version 2
31;move_id;;;;many2one;stock.move;Stock Move;False;version 2
32;tracking;;;;selection;;Tracking;False;version 2
33;product_id;;;;many2one;product.product;Product;False;version 2
34;is_locked;;;;boolean;;Is Locked;False;version 2
35;product_uom_id;;;;many2one;uom.uom;Unit of Measure;True;version 2
36;product_uom_category_id;;;;many2one;uom.category;Category;False;version 2
37;workorder_id;;;;many2one;mrp.workorder;Work Order;False;version 2
38;location_dest_id;;;;many2one;stock.location;To;True;version 2
39;production_id;;;;many2one;mrp.production;Production Order;False;version 2
40;lot_name;;;;char;;Lot/Serial Number Name;False;version 2
41;picking_id;;;;many2one;stock.picking;Transfer;False;version 2
;;;;
;;;;
