model,uom.uom,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,,,,many2one,res.users,Created by,False,version 2
2,display_name,,,,char,,Display Name,False,version 2
3,name,,,,char,,Unit of Measure,True,version 2
4,factor_inv,,,,float,,Bigger Ratio,True,version 2
5,rounding,,,,float,,Rounding Precision,True,version 2
6,__last_update,,,,datetime,,Last Modified on,False,version 2
7,write_uid,,,,many2one,res.users,Last Updated by,False,version 2
8,uom_type,,,,selection,,Type,1,version 2
9,write_date,,,,datetime,,Last Updated on,False,version 2
10,factor,,,,float,,Ratio,True,version 2
11,active,,,,boolean,,Active,False,version 2
12,create_date,,,,datetime,,Created on,False,version 2
13,category_id,,,,many2one,uom.category,Category,True,version 2
14,id,,,,integer,,ID,False,version 2
,,,,
,,,,
