model,website.visitor,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_date,,,,datetime,,First connection date,False,version 2
2,website_track_ids,,,,one2many,website.track,Visited Pages History,False,version 2
3,page_ids,,,,many2many,website.page,Visited Pages,False,version 2
4,page_count,,,,integer,,# Visited Pages,False,version 2
5,write_uid,,,,many2one,res.users,Last Updated by,False,version 2
6,partner_image,,,,binary,,Image,False,version 2
7,visitor_product_count,,,,integer,,Product Views,False,version 2
8,product_count,,,,integer,,Products Views,False,version 2
9,timezone,,,,selection,,Timezone,False,version 2
10,visitor_page_count,,,,integer,,Page Views,False,version 2
11,partner_id,,,,many2one,res.partner,Linked Partner,False,version 2
12,visit_count,,,,integer,,Number of visits,False,version 2
13,create_uid,,,,many2one,res.users,Created by,False,version 2
14,display_name,,,,char,,Display Name,False,version 2
15,last_connection_datetime,,,,datetime,,Last Connection,False,version 2
16,__last_update,,,,datetime,,Last Modified on,False,version 2
17,country_id,,,,many2one,res.country,Country,False,version 2
18,id,,,,integer,,ID,False,version 2
19,lang_id,,,,many2one,res.lang,Language,False,version 2
20,email,,,,char,,Email,False,version 2
21,website_id,,,,many2one,website,Website,False,version 2
22,write_date,,,,datetime,,Last Updated on,False,version 2
23,country_flag,,,,char,,Country Flag,False,version 2
24,active,,,,boolean,,Active,False,version 2
25,time_since_last_action,,,,char,,Last action,False,version 2
26,last_visited_page_id,,,,many2one,website.page,Last Visited Page,False,version 2
27,name,,,,char,,Name,False,version 2
28,mobile,,,,char,,Mobile Phone,False,version 2
29,product_ids,,,,many2many,product.product,Visited Products,False,version 2
30,is_connected,,,,boolean,,Is connected ?,False,version 2
,,,,
,,,,
