model,account.bank.statement.import.journal.creation,transient,True
no,field,type1,type2,relation,string1,string2,source
1,code,char,char,,Short Code,Short Code,both
2,create_date,datetime,datetime,,Created on,Created on,both
3,sequence,integer,integer,,Sequence,Sequence,both
4,company_id,many2one,many2one,res.company,Company,Company,both
5,currency_id,many2one,many2one,res.currency,Currency,Currency,both
6,at_least_one_inbound,boolean,boolean,,At least one inbound,At Least One Inbound,both
7,account_control_ids,many2many,many2many,account.account,Accounts Allowed,Allowed accounts,both
8,bank_statements_source,selection,selection,,Bank Feeds,Bank Feeds,both
9,id,integer,integer,,ID,ID,both
10,create_uid,many2one,many2one,res.users,Created by,Created by,both
11,display_name,char,char,,Display Name,Display Name,both
12,__last_update,datetime,datetime,,Last Modified on,Last Modified on,both
13,journal_id,many2one,many2one,account.journal,Journal id,Journal,both
14,bank_account_id,many2one,many2one,res.partner.bank,Bank Account,Bank Account,both
15,outbound_payment_method_ids,many2many,many2many,account.payment.method,Payment Methods,Outbound Payment Methods,both
16,kanban_dashboard_graph,text,text,,Kanban dashboard graph,Kanban Dashboard Graph,both
17,bank_acc_number,char,char,,Account Number,Account Number,both
18,kanban_dashboard,text,text,,Kanban dashboard,Kanban Dashboard,both
19,show_on_dashboard,boolean,boolean,,Show journal on dashboard,Show journal on dashboard,both
20,profit_account_id,many2one,many2one,account.account,Profit Account,Profit Account,both
21,inbound_payment_method_ids,many2many,many2many,account.payment.method,Debit Methods,Inbound Payment Methods,both
22,type_control_ids,many2many,many2many,account.account.type,Account Types Allowed,Allowed account types,both
23,write_date,datetime,datetime,,Last Updated on,Last Updated on,both
24,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,both
25,loss_account_id,many2one,many2one,account.account,Loss Account,Loss Account,both
26,name,char,char,,Journal Name,Journal Name,both
27,type,selection,selection,,Type,Type,both
28,bank_id,many2one,many2one,res.bank,Bank,Bank,both
29,at_least_one_outbound,boolean,boolean,,At least one outbound,At Least One Outbound,both
30,refund_sequence,boolean,boolean,,Dedicated Refund Sequence,Dedicated Credit Note Sequence,both
,,,,
31,default_debit_account_id,many2one,,account.account,Default Debit Account,,version 1
32,default_credit_account_id,many2one,,account.account,Default Credit Account,,version 1
33,sequence_id,many2one,,ir.sequence,Entry Sequence,,version 1
34,refund_sequence_id,many2one,,ir.sequence,Refund Entry Sequence,,version 1
35,update_posted,boolean,,,Allow Cancelling Entries,,version 1
36,group_invoice_lines,boolean,,,Group Invoice Lines,,version 1
37,belongs_to_company,boolean,,,Belong to the user's current company,,version 1
38,display_on_footer,boolean,,,Show in Invoices Footer,,version 1
,,,,
39,sale_activity_note,,text,,,Activity Summary,version 2
40,compatible_edi_ids,,many2many,account.edi.format,,Compatible Edi,version 2
41,color,,integer,,,Color Index,version 2
