model,account.fiscal.position.account,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,position_id,many2one,account.fiscal.position,Fiscal Position,many2one,account.fiscal.position,Fiscal Position,True,both
1,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
1,account_dest_id,many2one,account.account,Account to Use Instead,many2one,account.account,Account to Use Instead,True,both
1,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
1,create_date,datetime,,Created on,datetime,,Created on,False,both
1,account_src_id,many2one,account.account,Account on Product,many2one,account.account,Account on Product,True,both
1,id,integer,,ID,integer,,ID,False,both
,,,,
,,,,
1,company_id,,,,many2one,res.company,Company,False,version 2
,,,,
,,,,
