model,account.fiscal.position.account.template,transient,False
no,field,type1,type2,relation,string1,string2,required,source
1,create_uid,many2one,many2one,res.users,Created by,Created by,False,both
2,display_name,char,char,,Display Name,Display Name,False,both
3,__last_update,datetime,datetime,,Last Modified on,Last Modified on,False,both
4,position_id,many2one,many2one,account.fiscal.position.template,Fiscal Mapping,Fiscal Mapping,True,both
5,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,False,both
6,account_dest_id,many2one,many2one,account.account.template,Account Destination,Account Destination,True,both
7,write_date,datetime,datetime,,Last Updated on,Last Updated on,False,both
8,create_date,datetime,datetime,,Created on,Created on,False,both
9,account_src_id,many2one,many2one,account.account.template,Account Source,Account Source,True,both
10,id,integer,integer,,ID,ID,False,both
,,,,
,,,,
,,,,
,,,,
