model,account.fiscal.position.tax.template,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,position_id,many2one,account.fiscal.position.template,Fiscal Position,many2one,account.fiscal.position.template,Fiscal Position,True,both
1,tax_src_id,many2one,account.tax.template,Tax Source,many2one,account.tax.template,Tax Source,True,both
1,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
1,tax_dest_id,many2one,account.tax.template,Replacement Tax,many2one,account.tax.template,Replacement Tax,False,both
1,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
1,create_date,datetime,,Created on,datetime,,Created on,False,both
1,id,integer,,ID,integer,,ID,False,both
,,,,
,,,,
,,,,
,,,,
