model,account.full.reconcile,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
2,exchange_move_id,many2one,account.move,Exchange move id,many2one,account.move,Exchange Move,False,both
3,display_name,char,,Display Name,char,,Display Name,False,both
4,name,char,,Number,char,,Number,True,both
5,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
6,reconciled_line_ids,one2many,account.move.line,Matched Journal Items,one2many,account.move.line,Matched Journal Items,False,both
7,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
8,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
9,partial_reconcile_ids,one2many,account.partial.reconcile,Reconciliation Parts,one2many,account.partial.reconcile,Reconciliation Parts,False,both
10,create_date,datetime,,Created on,datetime,,Created on,False,both
11,id,integer,,ID,integer,,ID,False,both
,,,,
12,exchange_partial_rec_id,many2one,account.partial.reconcile,Exchange partial rec id,,,,False,version 1
,,,,
,,,,
,,,,
