model,account.move.line,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_date,datetime,,Created on,datetime,,Created on,False,both
1,statement_id,many2one,account.bank.statement,Statement,many2one,account.bank.statement,Statement,False,both
1,analytic_tag_ids,many2many,account.analytic.tag,Analytic tags,many2many,account.analytic.tag,Analytic Tags,False,both
1,company_id,many2one,res.company,Company,many2one,res.company,Company,False,both
1,currency_id,many2one,res.currency,Currency,many2one,res.currency,Currency,True,both
1,date_maturity,date,,Due date,date,,Due Date,False,both
1,matched_debit_ids,one2many,account.partial.reconcile,Matched debit ids,one2many,account.partial.reconcile,Matched Debits,False,both
1,partner_id,many2one,res.partner,Partner,many2one,res.partner,Partner,False,both
1,id,integer,,ID,integer,,ID,False,both
1,account_id,many2one,account.account,Account,many2one,account.account,Account,False,both
1,analytic_account_id,many2one,account.analytic.account,Analytic Account,many2one,account.analytic.account,Analytic Account,False,both
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
1,full_reconcile_id,many2one,account.full.reconcile,Matching Number,many2one,account.full.reconcile,Matching,False,both
1,journal_id,many2one,account.journal,Journal,many2one,account.journal,Journal,False,both
1,amount_residual_currency,monetary,,Residual Amount in Currency,monetary,,Residual Amount in Currency,False,both
1,debit,monetary,,Debit,monetary,,Debit,False,both
1,blocked,boolean,,No Follow-up,boolean,,No Follow-up,False,both
1,ref,char,,Reference,char,,Reference,False,both
1,tax_ids,many2many,account.tax,Taxes,many2many,account.tax,Taxes,False,both
1,matched_credit_ids,one2many,account.partial.reconcile,Matched credit ids,one2many,account.partial.reconcile,Matched Credits,False,both
1,reconciled,boolean,,Reconciled,boolean,,Reconciled,False,both
1,credit,monetary,,Credit,monetary,,Credit,False,both
1,analytic_line_ids,one2many,account.analytic.line,Analytic lines,one2many,account.analytic.line,Analytic lines,False,both
1,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
1,date,date,,Date,date,,Date,False,both
1,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
