model;account.payment.method;transient;False
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;create_uid;many2one;res.users;Created by;many2one;res.users;Created by;False;both
2;code;char;;Code;char;;Code;True;both
3;display_name;char;;Display Name;char;;Display Name;False;both
4;name;char;;Name;char;;Name;True;both
5;__last_update;datetime;;Last Modified on;datetime;;Last Modified on;False;both
6;write_uid;many2one;res.users;Last Updated by;many2one;res.users;Last Updated by;False;both
7;payment_type;selection;;Payment type;selection;;Payment Type;True;both
8;write_date;datetime;;Last Updated on;datetime;;Last Updated on;False;both
9;create_date;datetime;;Created on;datetime;;Created on;False;both
10;id;integer;;ID;integer;;ID;False;both
;;;;
;;;;
11;sequence;;;;integer;;Sequence;False;version 2
;;;;
;;;;
