model,account.payment.term,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
2,display_name,char,,Display Name,char,,Display Name,False,both
3,name,char,,Payment Terms,char,,Payment Terms,True,both
4,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
5,company_id,many2one,res.company,Company,many2one,res.company,Company,False,both
6,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
7,note,text,,Description on the Invoice,text,,Description on the Invoice,False,both
8,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
9,line_ids,one2many,account.payment.term.line,Terms,one2many,account.payment.term.line,Terms,False,both
10,active,boolean,,Active,boolean,,Active,False,both
11,create_date,datetime,,Created on,datetime,,Created on,False,both
12,id,integer,,ID,integer,,ID,False,both
,,,,
,,,,
13,sequence,,,,integer,,Sequence,True,version 2
,,,,
,,,,
