model,account.print.journal,transient,True
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
2,display_name,char,,Display Name,char,,Display Name,False,both
3,sort_selection,selection,,Entries Sorted by,selection,,Entries Sorted by,True,both
4,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
5,date_from,date,,Start Date,date,,Start Date,False,both
6,company_id,many2one,res.company,Company,many2one,res.company,Company,True,both
7,amount_currency,boolean,,With Currency,boolean,,With Currency,False,both
8,journal_ids,many2many,account.journal,Journals,many2many,account.journal,Journals,True,both
9,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
10,date_to,date,,End Date,date,,End Date,False,both
11,create_date,datetime,,Created on,datetime,,Created on,False,both
12,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
13,id,integer,,ID,integer,,ID,False,both
14,target_move,selection,,Target Moves,selection,,Target Moves,True,both
,,,,
,,,,
,,,,
,,,,
