model,asset.modify,transient,True
no,field,type1,type2,relation,string1,string2,source
1,method_number,integer,integer,,Number of Depreciations,Number of Depreciations,both
2,create_uid,many2one,many2one,res.users,Created by,Created by,both
3,display_name,char,char,,Display Name,Display Name,both
4,name,text,text,,Reason,Reason,both
5,__last_update,datetime,datetime,,Last Modified on,Last Modified on,both
6,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,both
7,method_period,integer,selection,,Period Length,Number of Months in a Period,both
8,write_date,datetime,datetime,,Last Updated on,Last Updated on,both
9,create_date,datetime,datetime,,Created on,Created on,both
10,id,integer,integer,,ID,ID,both
,,,,
11,method_end,date,,,Ending date,,version 1
12,asset_method_time,char,,,Asset Method Time,,version 1
,,,,
13,account_asset_id,,many2one,account.account,,Asset Gross Increase Account,version 2
14,account_depreciation_id,,many2one,account.account,,Account Depreciation,version 2
15,salvage_value,,monetary,,,Not Depreciable Amount,version 2
16,currency_id,,many2one,res.currency,,Currency,version 2
17,account_depreciation_expense_id,,many2one,account.account,,Account Depreciation Expense,version 2
18,value_residual,,monetary,,,Depreciable Amount,version 2
19,need_date,,boolean,,,Need Date,version 2
20,date,,date,,,Date,version 2
21,account_asset_counterpart_id,,many2one,account.account,,Account Asset Counterpart,version 2
22,gain_value,,boolean,,,Gain Value,version 2
23,asset_id,,many2one,account.asset,,Asset,version 2
,,,,
,,,,
