model,barcode.nomenclature,transient,False
no,field,type1,type2,relation,string1,string2,source
1,create_uid,many2one,many2one,res.users,Created by,Created by,both
2,create_date,datetime,datetime,,Created on,Created on,both
3,name,char,char,,Nomenclature Name,Barcode Nomenclature,both
4,__last_update,datetime,datetime,,Last Modified on,Last Modified on,both
5,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,both
6,rule_ids,one2many,one2many,barcode.rule,Rules,Rules,both
7,write_date,datetime,datetime,,Last Updated on,Last Updated on,both
8,display_name,char,char,,Display Name,Display Name,both
9,upc_ean_conv,selection,selection,,UPC/EAN Conversion,UPC/EAN Conversion,both
10,id,integer,integer,,ID,ID,both
,,,,
,,,,
,,,,
,,,,
