model;base.module.update;transient;True
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;create_uid;many2one;res.users;Created by;many2one;res.users;Created by;False;both
2;updated;integer;;Number of modules updated;integer;;Number of modules updated;False;both
3;added;integer;;Number of modules added;integer;;Number of modules added;False;both
4;display_name;char;;Display Name;char;;Display Name;False;both
5;__last_update;datetime;;Last Modified on;datetime;;Last Modified on;False;both
6;write_uid;many2one;res.users;Last Updated by;many2one;res.users;Last Updated by;False;both
7;state;selection;;Status;selection;;Status;False;both
8;write_date;datetime;;Last Updated on;datetime;;Last Updated on;False;both
9;create_date;datetime;;Created on;datetime;;Created on;False;both
10;id;integer;;ID;integer;;ID;False;both
;;;;
;;;;
;;;;
;;;;
