model,blog.blog,transient,False
no,field,type1,type2,relation,string1,string2,source
1,message_follower_ids,one2many,one2many,mail.followers,Followers,Followers,both
2,subtitle,char,char,,Blog Subtitle,Blog Subtitle,both
3,message_needaction,boolean,boolean,,Action Needed,Action Needed,both
4,message_channel_ids,many2many,many2many,mail.channel,Followers (Channels),Followers (Channels),both
5,message_partner_ids,many2many,many2many,res.partner,Followers (Partners),Followers (Partners),both
6,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,both
7,create_date,datetime,datetime,,Created on,Created on,both
8,message_ids,one2many,one2many,mail.message,Messages,Messages,both
9,create_uid,many2one,many2one,res.users,Created by,Created by,both
10,display_name,char,char,,Display Name,Display Name,both
11,message_is_follower,boolean,boolean,,Is Follower,Is Follower,both
12,__last_update,datetime,datetime,,Last Modified on,Last Modified on,both
13,id,integer,integer,,ID,ID,both
14,website_meta_title,char,char,,Website meta title,Website meta title,both
15,message_unread_counter,integer,integer,,Unread Messages Counter,Unread Messages Counter,both
16,website_meta_description,text,text,,Website meta description,Website meta description,both
17,write_date,datetime,datetime,,Last Updated on,Last Updated on,both
18,active,boolean,boolean,,Active,Active,both
19,name,char,char,,Blog Name,Blog Name,both
20,website_meta_keywords,char,char,,Website meta keywords,Website meta keywords,both
21,message_unread,boolean,boolean,,Unread Messages,Unread Messages,both
22,message_needaction_counter,integer,integer,,Number of Actions,Number of Actions,both
,,,,
23,message_last_post,datetime,,,Last Message Date,,version 1
,,,,
24,website_id,,many2one,website,,Website,version 2
25,message_main_attachment_id,,many2one,ir.attachment,,Main Attachment,version 2
26,message_has_error,,boolean,,,Message Delivery error,version 2
27,blog_post_ids,,one2many,blog.post,,Blog Posts,version 2
28,is_seo_optimized,,boolean,,,SEO optimized,version 2
29,message_has_sms_error,,boolean,,,SMS Delivery error,version 2
30,content,,html,,,Content,version 2
31,message_attachment_count,,integer,,,Attachment Count,version 2
32,blog_post_count,,integer,,,Posts,version 2
33,message_has_error_counter,,integer,,,Number of errors,version 2
34,seo_name,,char,,,Seo name,version 2
35,website_meta_og_img,,char,,,Website opengraph image,version 2
36,cover_properties,,text,,,Cover Properties,version 2
37,website_message_ids,,one2many,mail.message,,Website Messages,version 2
,,,,
,,,,
