model,blog.post,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,teaser_manual,text,,Teaser Content,text,,Teaser Content,False,both
1,message_follower_ids,one2many,mail.followers,Followers,one2many,mail.followers,Followers,False,both
1,create_date,datetime,,Created on,datetime,,Created on,False,both
1,message_needaction,boolean,,Action Needed,boolean,,Action Needed,False,both
1,message_channel_ids,many2many,mail.channel,Followers (Channels),many2many,mail.channel,Followers (Channels),False,both
1,message_partner_ids,many2many,res.partner,Followers (Partners),many2many,res.partner,Followers (Partners),False,both
1,write_uid,many2one,res.users,Last Contributor,many2one,res.users,Last Contributor,False,both
1,post_date,datetime,,Published date,datetime,,Publishing date,False,both
1,subtitle,char,,Sub Title,char,,Sub Title,False,both
1,id,integer,,ID,integer,,ID,False,both
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
1,message_is_follower,boolean,,Is Follower,boolean,,Is Follower,False,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,tag_ids,many2many,blog.tag,Tags,many2many,blog.tag,Tags,False,both
1,message_ids,one2many,mail.message,Messages,one2many,mail.message,Messages,False,both
1,content,html,,Content,html,,Content,False,both
1,website_meta_title,char,,Website meta title,char,,Website meta title,False,both
1,message_unread_counter,integer,,Unread Messages Counter,integer,,Unread Messages Counter,False,both
1,website_published,boolean,,Visible in Website,boolean,,Visible on current website,False,both
1,website_url,char,,Website URL,char,,Website URL,False,both
1,blog_id,many2one,blog.blog,Blog,many2one,blog.blog,Blog,True,both
1,visits,integer,,No of Views,integer,,No of Views,False,both
1,teaser,text,,Teaser,text,,Teaser,False,both
1,write_date,datetime,,Last Modified on,datetime,,Last Updated on,False,both
1,active,boolean,,Active,boolean,,Active,False,both
1,message_unread,boolean,,Unread Messages,boolean,,Unread Messages,False,both
1,name,char,,Title,char,,Title,True,both
1,cover_properties,text,,Cover Properties,text,,Cover Properties,False,both
1,website_meta_description,text,,Website meta description,text,,Website meta description,False,both
1,author_avatar,binary,,Avatar,binary,,Avatar,False,both
1,published_date,datetime,,Published Date,datetime,,Published Date,False,both
1,website_meta_keywords,char,,Website meta keywords,char,,Website meta keywords,False,both
1,author_id,many2one,res.partner,Author,many2one,res.partner,Author,False,both
1,website_message_ids,one2many,mail.message,Website Messages,one2many,mail.message,Website Messages,False,both
1,message_needaction_counter,integer,,Number of Actions,integer,,Number of Actions,False,both
,,,,
1,ranking,float,,Ranking,,,,False,version 1
2,message_last_post,datetime,,Last Message Date,,,,False,version 1
,,,,
3,can_publish,,,,boolean,,Can Publish,False,version 2
4,website_id,,,,many2one,website,Website,False,version 2
5,author_name,,,,char,,Author Name,False,version 2
6,message_has_error_counter,,,,integer,,Number of errors,False,version 2
7,message_main_attachment_id,,,,many2one,ir.attachment,Main Attachment,False,version 2
8,message_has_error,,,,boolean,,Message Delivery error,False,version 2
9,seo_name,,,,char,,Seo name,False,version 2
10,website_meta_og_img,,,,char,,Website opengraph image,False,version 2
11,message_has_sms_error,,,,boolean,,SMS Delivery error,False,version 2
12,is_seo_optimized,,,,boolean,,SEO optimized,False,version 2
13,message_attachment_count,,,,integer,,Attachment Count,False,version 2
14,is_published,,,,boolean,,Is Published,False,version 2
,,,,
,,,,
