model,bus.presence,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,status,selection,,IM Status,selection,,IM Status,False,both
2,user_id,many2one,res.users,Users,many2one,res.users,Users,True,both
3,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
4,last_presence,datetime,,Last Presence,datetime,,Last Presence,False,both
5,last_poll,datetime,,Last Poll,datetime,,Last Poll,False,both
6,id,integer,,ID,integer,,ID,False,both
7,display_name,char,,Display Name,char,,Display Name,False,both
,,,,
,,,,
,,,,
,,,,
