model,change.password.user,transient,True
no,field,type1,type2,relation,string1,string2,required,source
1,create_uid,many2one,many2one,res.users,Created by,Created by,False,both
2,display_name,char,char,,Display Name,Display Name,False,both
3,__last_update,datetime,datetime,,Last Modified on,Last Modified on,False,both
4,user_login,char,char,,User Login,User Login,False,both
5,new_passwd,char,char,,New Password,New Password,False,both
6,wizard_id,many2one,many2one,change.password.wizard,Wizard,Wizard,True,both
7,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,False,both
8,user_id,many2one,many2one,res.users,User,User,True,both
9,write_date,datetime,datetime,,Last Updated on,Last Updated on,False,both
10,create_date,datetime,datetime,,Created on,Created on,False,both
11,id,integer,integer,,ID,ID,False,both
,,,,
,,,,
,,,,
,,,,
