model,decimal.precision,transient,False
no,field,type1,type2,relation,string1,string2,source
1,digits,integer,integer,,Digits,Digits,both
2,create_uid,many2one,many2one,res.users,Created by,Created by,both
3,create_date,datetime,datetime,,Created on,Created on,both
4,name,char,char,,Usage,Usage,both
5,__last_update,datetime,datetime,,Last Modified on,Last Modified on,both
6,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,both
7,write_date,datetime,datetime,,Last Updated on,Last Updated on,both
8,display_name,char,char,,Display Name,Display Name,both
9,id,integer,integer,,ID,ID,both
,,,,
,,,,
,,,,
,,,,
