model;hr.contract;transient;False
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;message_follower_ids;one2many;mail.followers;Followers;one2many;mail.followers;Followers;False;both
2;create_date;datetime;;Created on;datetime;;Created on;False;both
3;trial_date_end;date;;Trial End Date;date;;End of Trial Period;False;both
4;message_needaction;boolean;;Action Needed;boolean;;Action Needed;False;both
5;message_channel_ids;many2many;mail.channel;Followers (Channels);many2many;mail.channel;Followers (Channels);False;both
6;date_end;date;;End Date;date;;End Date;False;both
7;write_uid;many2one;res.users;Last Updated by;many2one;res.users;Last Updated by;False;both
8;id;integer;;ID;integer;;ID;False;both
9;visa_expire;date;;Visa Expire Date;date;;Visa Expire Date;False;both
10;create_uid;many2one;res.users;Created by;many2one;res.users;Created by;False;both
11;employee_id;many2one;hr.employee;Employee;many2one;hr.employee;Employee;False;both
12;display_name;char;;Display Name;char;;Display Name;False;both
13;job_id;many2one;hr.job;Job Title;many2one;hr.job;Job Position;False;both
14;message_is_follower;boolean;;Is Follower;boolean;;Is Follower;False;both
15;__last_update;datetime;;Last Modified on;datetime;;Last Modified on;False;both
16;date_start;date;;Start Date;date;;Start Date;True;both
17;message_ids;one2many;mail.message;Messages;one2many;mail.message;Messages;False;both
18;visa_no;char;;Visa No;char;;Visa No;False;both
19;state;selection;;Status;selection;;Status;False;both
20;message_unread_counter;integer;;Unread Messages Counter;integer;;Unread Messages Counter;False;both
21;message_partner_ids;many2many;res.partner;Followers (Partners);many2many;res.partner;Followers (Partners);False;both
22;department_id;many2one;hr.department;Department;many2one;hr.department;Department;False;both
23;wage;float;;Wage;monetary;;Wage;True;both
24;write_date;datetime;;Last Updated on;datetime;;Last Updated on;False;both
25;name;char;;Contract Reference;char;;Contract Reference;True;both
26;notes;text;;Notes;text;;Notes;False;both
27;permit_no;char;;Work Permit No;char;;Work Permit No;False;both
28;message_unread;boolean;;Unread Messages;boolean;;Unread Messages;False;both
29;message_needaction_counter;integer;;Number of Actions;integer;;Number of Actions;False;both
;;;;
30;working_hours;many2one;resource.calendar;Working Schedule;;;;False;version 1
31;type_id;many2one;hr.contract.type;Contract Type;;;;True;version 1
32;message_last_post;datetime;;Last Message Date;;;;False;version 1
33;advantages;text;;Advantages;;;;False;version 1
34;trial_date_start;date;;Trial Start Date;;;;False;version 1
;;;;
35;currency_id;;;;many2one;res.currency;Currency;False;version 2
36;message_main_attachment_id;;;;many2one;ir.attachment;Main Attachment;False;version 2
37;message_has_error;;;;boolean;;Message Delivery error;False;version 2
38;first_contract_date;;;;date;;First Contract Date;False;version 2
39;structure_type_id;;;;many2one;hr.payroll.structure.type;Salary Structure Type;False;version 2
40;activity_date_deadline;;;;date;;Next Activity Deadline;False;version 2
41;activity_exception_decoration;;;;selection;;Activity Exception Decoration;False;version 2
42;message_has_sms_error;;;;boolean;;SMS Delivery error;False;version 2
43;activity_type_icon;;;;char;;Activity Type Icon;False;version 2
44;company_id;;;;many2one;res.company;Company;True;version 2
45;activity_user_id;;;;many2one;res.users;Responsible User;False;version 2
46;message_attachment_count;;;;integer;;Attachment Count;False;version 2
47;hr_responsible_id;;;;many2one;res.users;HR Responsible;False;version 2
48;kanban_state;;;;selection;;Kanban State;False;version 2
49;message_has_error_counter;;;;integer;;Number of errors;False;version 2
50;active;;;;boolean;;Active;False;version 2
51;resource_calendar_id;;;;many2one;resource.calendar;Working Schedule;False;version 2
52;activity_type_id;;;;many2one;mail.activity.type;Next Activity Type;False;version 2
53;activity_ids;;;;one2many;mail.activity;Activities;False;version 2
54;activity_summary;;;;char;;Next Activity Summary;False;version 2
55;activity_exception_icon;;;;char;;Icon;False;version 2
56;calendar_mismatch;;;;boolean;;Calendar Mismatch;False;version 2
57;activity_state;;;;selection;;Activity State;False;version 2
58;website_message_ids;;;;one2many;mail.message;Website Messages;False;version 2
59;company_country_id;;;;many2one;res.country;Company country;False;version 2
;;;;
;;;;
