model,hr.employee,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,message_follower_ids,one2many,mail.followers,Followers,one2many,mail.followers,Followers,False,both
1,address_id,many2one,res.partner,Working Address,many2one,res.partner,Work Address,False,both
1,create_date,datetime,,Created on,datetime,,Created on,False,both
1,coach_id,many2one,hr.employee,Coach,many2one,hr.employee,Coach,False,both
1,resource_id,many2one,resource.resource,Resource,many2one,resource.resource,Resource,True,both
1,color,integer,,Color Index,integer,,Color Index,False,both
1,message_channel_ids,many2many,mail.channel,Followers (Channels),many2many,mail.channel,Followers (Channels),False,both
1,message_partner_ids,many2many,res.partner,Followers (Partners),many2many,res.partner,Followers (Partners),False,both
1,marital,selection,,Marital Status,selection,,Marital Status,False,both
1,sinid,char,,SIN No,char,,SIN No,False,both
1,identification_id,char,,Identification No,char,,Identification No,False,both
1,id,integer,,ID,integer,,ID,False,both
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
1,contract_id,many2one,hr.contract,Current Contract,many2one,hr.contract,Current Contract,False,both
1,message_is_follower,boolean,,Is Follower,boolean,,Is Follower,False,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,work_phone,char,,Work Phone,char,,Work Phone,False,both
1,country_id,many2one,res.country,Nationality (Country),many2one,res.country,Nationality (Country),False,both
1,company_id,many2one,res.company,Company,many2one,res.company,Company,True,both
1,category_ids,many2many,hr.employee.category,Tags,many2many,hr.employee.category,Tags,False,both
1,parent_id,many2one,hr.employee,Manager,many2one,hr.employee,Manager,False,both
1,message_needaction_counter,integer,,Number of Actions,integer,,Number of Actions,False,both
1,contracts_count,integer,,Contracts,integer,,Contract Count,False,both
1,vehicle,char,,Company Vehicle,char,,Company Vehicle,False,both
1,message_unread_counter,integer,,Unread Messages Counter,integer,,Unread Messages Counter,False,both
1,department_id,many2one,hr.department,Department,many2one,hr.department,Department,False,both
1,mobile_phone,char,,Work Mobile,char,,Work Mobile,False,both
1,message_needaction,boolean,,Action Needed,boolean,,Action Needed,False,both
1,bank_account_id,many2one,res.partner.bank,Bank Account Number,many2one,res.partner.bank,Bank Account Number,False,both
1,child_ids,one2many,hr.employee,Subordinates,one2many,hr.employee,Direct subordinates,False,both
1,birthday,date,,Date of Birth,date,,Date of Birth,False,both
1,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
1,active,boolean,,Active,boolean,,Active,False,both
1,user_id,many2one,res.users,User,many2one,res.users,User,False,both
1,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
1,work_email,char,,Work Email,char,,Work Email,False,both
1,job_id,many2one,hr.job,Job Title,many2one,hr.job,Job Position,False,both
1,work_location,char,,Work Location,char,,Work Location,False,both
1,name,char,,Name,char,,Employee Name,False,both
1,gender,selection,,Gender,selection,,Gender,False,both
1,ssnid,char,,SSN No,char,,SSN No,False,both
1,children,integer,,Number of Children,integer,,Number of Children,False,both
1,address_home_id,many2one,res.partner,Home Address,many2one,res.partner,Address,False,both
1,passport_id,char,,Passport No,char,,Passport No,False,both
1,contract_ids,one2many,hr.contract,Contracts,one2many,hr.contract,Employee Contracts,False,both
1,place_of_birth,char,,Place of Birth,char,,Place of Birth,False,both
1,message_ids,one2many,mail.message,Messages,one2many,mail.message,Messages,False,both
1,message_unread,boolean,,Unread Messages,boolean,,Unread Messages,False,both
1,notes,text,,Notes,text,,Notes,False,both
,,,,
1,code,char,,Code,,,,False,version 1
2,image,binary,,Photo,,,,False,version 1
3,manager,boolean,,Is a Manager,,,,False,version 1
4,city,char,,City,,,,False,version 1
5,message_last_post,datetime,,Last Message Date,,,,False,version 1
6,medic_exam,date,,Medical Examination Date,,,,False,version 1
7,image_medium,binary,,Medium-sized photo,,,,False,version 1
8,name_related,char,,Resource Name,,,,False,version 1
9,image_small,binary,,Small-sized photo,,,,False,version 1
10,vehicle_distance,integer,,Home-Work Dist.,,,,False,version 1
11,time_efficiency,float,,Efficiency Factor,,,,True,version 1
12,last_login,datetime,,Latest Connection,,,,False,version 1
13,calendar_id,many2one,resource.calendar,Working Time,,,,False,version 1
14,login,char,,Login,,,,False,version 1
15,resource_type,selection,,Resource Type,,,,True,version 1
,,,,
16,last_activity_time,,,,char,,Last Activity Time,False,version 2
