model,ir.actions.act_url,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
2,xml_id,char,,External ID,char,,External ID,False,both
3,display_name,char,,Display Name,char,,Display Name,False,both
4,target,selection,,Action Target,selection,,Action Target,True,both
5,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
6,url,text,,Action URL,text,,Action URL,True,both
7,help,html,,Action Description,html,,Action Description,False,both
8,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
9,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
10,create_date,datetime,,Created on,datetime,,Created on,False,both
11,type,char,,Action Type,char,,Action Type,True,both
12,id,integer,,ID,integer,,ID,False,both
13,name,char,,Action Name,char,,Action Name,True,both
,,,,
14,usage,char,,Action Usage,,,,False,version 1
,,,,
15,binding_type,,,,selection,,Binding Type,True,version 2
16,binding_model_id,,,,many2one,ir.model,Binding Model,False,version 2
17,binding_view_types,,,,char,,Binding View Types,False,version 2
,,,,
,,,,
