model;ir.actions.client;transient;False
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;create_uid;many2one;res.users;Created by;many2one;res.users;Created by;False;both
2;xml_id;char;;External ID;char;;External ID;False;both
3;display_name;char;;Display Name;char;;Display Name;False;both
4;help;html;;Action Description;html;;Action Description;False;both
5;name;char;;Action Name;char;;Action Name;True;both
6;__last_update;datetime;;Last Modified on;datetime;;Last Modified on;False;both
7;res_model;char;;Destination Model;char;;Destination Model;False;both
8;write_uid;many2one;res.users;Last Updated by;many2one;res.users;Last Updated by;False;both
9;params_store;binary;;Params storage;binary;;Params storage;False;both
10;tag;char;;Client action tag;char;;Client action tag;True;both
11;params;binary;;Supplementary arguments;binary;;Supplementary arguments;False;both
12;context;char;;Context Value;char;;Context Value;True;both
13;write_date;datetime;;Last Updated on;datetime;;Last Updated on;False;both
14;create_date;datetime;;Created on;datetime;;Created on;False;both
15;type;char;;Action Type;char;;Action Type;True;both
16;id;integer;;ID;integer;;ID;False;both
17;target;selection;;Target Window;selection;;Target Window;False;both
;;;;
18;usage;char;;Action Usage;;;;False;version 1
;;;;
19;binding_type;;;;selection;;Binding Type;True;version 2
20;binding_model_id;;;;many2one;ir.model;Binding Model;False;version 2
21;binding_view_types;;;;char;;Binding View Types;False;version 2
;;;;
;;;;
