model,ir.config_parameter,transient,False
no,field,type1,type2,relation,string1,string2,required,source
1,create_uid,many2one,many2one,res.users,Created by,Created by,False,both
2,display_name,char,char,,Display Name,Display Name,False,both
3,key,char,char,,Key,Key,True,both
4,__last_update,datetime,datetime,,Last Modified on,Last Modified on,False,both
5,value,text,text,,Value,Value,True,both
6,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,False,both
7,write_date,datetime,datetime,,Last Updated on,Last Updated on,False,both
8,create_date,datetime,datetime,,Created on,Created on,False,both
9,id,integer,integer,,ID,ID,False,both
,,,,
10,group_ids,many2many,,res.groups,Groups,,False,version 1
,,,,
,,,,
,,,,
